ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
1,"Track order is missing in  my orders page",1.5.9,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar","Nikhil Teredesai",,,"1. Open drawer menu.; 2. my orders; 3. click on order which is shipped","iPhone Apple iPhone 6s Plus iOS 9.2.1",,1,"25/07/2016 11:02:41 ","29/12/2016 11:37:45 "
4,"App crashes on 3 dots of"" todays deals"" widget list page-- check video link",1.5.9,Closed,Critical,Critical,Functional,Always,vikram1,"Rahul Asati","App is crashing on clicking upon 3 dots of todays deals widget list page

Check video on this link-- https://drive.google.com/open?id=0B2N2m1QUqoexcDNLTTZYTUJHaXc","App shouldnt crash and 3 dots should get open
","1. Go to any product's detail page; 2. Go to today's deals widget and click on view all button; 3. Click  on 3 dots of any product; 4. See app crashes","Android Phone LG Nexus 5X Android 6.0",,2,"29/07/2016 11:10:32 ","23/09/2016 12:12:57 "
5,"Version of purplle android app",1.5.9,Closed,High,Major,Visual,Always,vikram1,"Rahul Asati","Version of the purplle android app on drawer menu is not shown","User should be able to see version of the purplle android app on drawer menu","1. Click on drawer menu of purplle android app; 2. See user is not able to see the version","Android Phone LG Nexus 5X Android 6.0",,3,"29/07/2016 11:13:56 ","05/01/2017 09:35:11 "
6,"Something went wrong msg is coming when user enter wrong password and tries to do login",1.5.9,Closed,Medium,Minor,Usability,Always,archana,"Jugal SA","Something went wrong msg is coming when user enter wrong password and tries to do login

Actual result: ""something went wrong"" msg is coming.","Error msg should get displayed","1. Open login page.; 2.  Enter email id.; 3.  Enter wrong password and click on login.","Android Phone Samsung Galaxy J7 Android 5.0",,0,"30/07/2016 07:17:51 ","19/11/2016 07:19:35 "
7,"Check box is missing under ""Address"" tab to choose address.",1.5.9,Closed,High,Major,"User input data",Always,archana,"Rahul Asati","Check box is missing under address tab to choose address
","Check box should be present and recent address should be checked by default.","1.  Open setting from drawer menu; 2. Open address tab.","Android Phone Samsung Galaxy J7 Android 5.0",,4,"30/07/2016 07:34:13 ","28/12/2016 11:20:24 "
8,"Ui of terms and condition is not proper. ",1.5.9,Closed,High,Minor,Usability,Always,archana,"Jugal SA","Ui of terms and condition is not proper.

Mobile browser's screen is getting open. 
Also when user clicks on any link like drawer menu, title mobile browser's screen is getting open.","Page should get change","1. Open ""Terms and conditions"" page from drawer menu.","Android Phone Samsung Galaxy J7 Android 5.0",,0,"30/07/2016 10:30:16 ","19/11/2016 07:25:56 "
9,"Ui is not proper for ""About purplle"" page and mobile browser's page is getting open.",1.5.9,"Not a Bug",Medium,Minor,Usability,Always,archana,iliyas,"Ui is not proper for ""About purplle"" page and mobile browser's page is getting open.","Page needs to change.","1. Open ""About purplle"" tab from drawer menu.; 2.  Click on upper right hand side corners tab. (drawer is getting open same as mobile browser )","Android Phone Samsung Galaxy J7",,0,"30/07/2016 10:48:54 ","21/12/2016 07:36:26 "
10,"Coding lines are visible under Details page of the product.",1.5.9,Closed,,Minor,Text,Always,archana,"Varun Bhardwaj","Coding lines are getting visible under info.","Coding lines should not be visible under details page","1. Open product Oligodermie Moisture Regulating Serum (30ml); 2. Click on details page.; 3. Click on Additional information tab.","Android Phone",,0,"30/07/2016 11:02:10 ","11/08/2017 06:34:28 "
11,"Notify me tab is getting visible over wrong product.",1.5.9,Closed,Medium,Minor,Visual,Always,archana,"Rahul Asati","Notify me tab is getting visible over wrong product.
","Notify me icon is getting open over upper product.
Add Comment","1. Open product detail page. ; 2. Click on sold out icon. (with scrolling page in upside)","Android Phone Samsung Galaxy J7 Android 5.0",,4,"30/07/2016 11:13:38 ","03/01/2017 06:59:31 "
13,"widget is visible even only one product is present in widget",1.5.9,Closed,Medium,Minor,Usability,Always,archana,"Varun Bhardwaj","Only one product is visible under ""pair up with"" widget.","Recommendation widget has < 4 items then that widget should not be displayed.","1.  Open product detail page. Category << Baby care<< bath and body << Johnson and johnson bath ttt (100ml)","Android Phone Samsung Galaxy J7 Android 5.0",,2,"30/07/2016 12:34:05 ","18/05/2017 05:56:00 "
14,"User is unable to edit & delete the questions ",1.5.9,"Not a Bug",Low,Minor,Functional,Always,archana,"Rahul Asati","User is not able to edit & delete the questions ","User should able to edit and delete the questions.","1. Open produt detail page.; 2. Click on Questions tab.; 3. Click on ask a Question.; 4. Type the Question ; 5. Click on Ask (Question is submitted)","Android Phone Samsung Galaxy J7 Android 5.0",,1,"30/07/2016 12:51:45 ","28/12/2016 11:50:58 "
15," User is allowed to add same hashtag multiple times.",1.5.9,"Not a Bug",Medium,Major,Functional,Always,archana,"Rahul Asati","User is allowed to add same hashtag multiple times.

Actual defect:
user is allowed to add same hashtag again and again
Example - #lakme #lakme #lakme #lakme #lakme
","User should not allowed to add same hashtag mulitple times","1. Click on Create story icon.; 2. Select image and click on next.; 3. Type hashtag e.g. Lakme and select it for more than once.","Android Phone Samsung Galaxy J7 Android 5.0 Chrome Latest",,2,"03/08/2016 09:52:46 ","29/12/2016 11:36:02 "
16," Notification msg is not getting display when user enter invalid product name under create story page. ",1.5.9,"Not a Bug",Low,Minor,,Always,archana,,"Notification msg is not getting display when user enter invalid product name under create story page.","The notification message should read - 'Unable to find the product'","1. Open create story pagew with selecting image; 2. Enter invalid product name. ","Android Phone Samsung Galaxy J7 Android 5.0 Chrome Latest",,1,"03/08/2016 09:57:17 ","21/12/2016 07:04:57 "
17,"Distance is not getting visible for salons  even after sorting it distance wise.",1.5.9,"Not a Bug",Medium,Minor,Functional,Always,archana,,"Distance is not visible in salon listing page after applying filter distance wise.","Distance should be displayed.","1. Select mulund west as a location; 2. Select hair; 3. Go to filter; 4. Select distance filter; 5. See the first few salons are not showing distance.","Android Phone Samsung Galaxy J7 Android 5.0 Chrome Latest",,0,"03/08/2016 10:42:00 ","18/05/2017 05:56:16 "
18," Register tab is missing under profile page",1.5.9,"Not a Bug",Medium,Major,Usability,Always,archana,prachi,"Register tab is missing under profile page.


","
User should able to see register tab for logged out user.","1. Open profile page from bottom drawer. (with logged out user)","Android Phone Samsung Galaxy J7 Android 5.0 Chrome Latest",,0,"03/08/2016 10:53:37 ","21/12/2016 07:11:16 "
19,"Filter count is shown incorrectly.",1.5.9,Closed,Medium,Major,Functional,Always,archana,"Rahul Asati","Filter count is shown incorrectly.

eg. if we applied filter for cleansers like, category-cleanser (1) , brand-avon  (2) , skin- all skin types (3), gender-unisex (4) , age group-adults (5) , and click on apply.

filter count is visible as 3 instead of 5.","Filter count should be shown correctly.","1.  Open shop >> category>> cleanser (or any category); 2. Click on filter.; 3.  Click on 2 or more filter option.","Android Phone Samsung Galaxy J7",,2,"03/08/2016 11:02:58 ","12/08/2016 08:44:57 "
20,"Logged out user  is able to ask a question withoust doing login.",1.5.9,Closed,High,Minor,Functional,Always,archana,"Rahul Asati","User is allowed to post question with logged user from overview page and questions tab.","User should asked for login when user clicks on ""Ask a question "" with logged out user.","1. Open product detail page.; 2. Open question tab and click on ""ask a question"" with logged out user.","Android Phone Samsung Galaxy J7 Android 5.0 Chrome Latest",,6,"03/08/2016 11:13:04 ","12/08/2016 13:34:54 "
21,"Html content is getting hide for ""Stay Quirky Nail Polish Satin Effect Sunny Side Up 736""",1.5.9,Closed,Medium,Minor,Visual,Always,archana,naved,"Html content is getting hid for ""Stay Quirky Nail Polish Satin Effect Sunny Side Up 736""
","Actual result
Page is not proper. text is not visible properly

Page should be proper.","1. Go to ""Stay Quirky Nail Polish Satin Effect Sunny Side Up 736"" on app; 2. Click on Details >> Additional inoformation.","Android Phone Samsung Galaxy J7 Android 5.0 Chrome Latest",,2,"03/08/2016 11:20:09 ","18/05/2017 06:09:49 "
45,"image is mismatching with design under payment gateway for cod",1.5.9,Closed,Low,Minor,Visual,Always,archana,"Varun Bhardwaj","Refer design
https://app.sympli.io/app#!/designs/579caa2763baf12350e58521

Actual app screenshot: http://screencast.com/t/CDEgwnB2h","image should be updated","1. Open  payment gateway for cod.","Android Phone Samsung Galaxy J7 Android 5.1",,2,"05/08/2016 09:54:12 ","18/05/2017 06:49:20 "
50,"It should be ""Purplle"" on app home page -- refer the screenshot",1.5.9,Closed,Low,Minor,Visual,Always,vikram1,amitk,"On homepage of  android app, 'purpllle' word is shown, it should be spelled as ""Purplle"" ","It should be spelled as ""Purplle""","1. Go to purplle android app homepage; 2. See ""Purplle"" is spelled as ""purplle"", it should be spelled as ""Purplle"", P should be capitalized","Android Phone",,2,"08/08/2016 08:45:55 ","12/08/2016 05:30:37 "
23,"1 Like (s), 1 Share (s) text is visible instead of 1 Like and 1 share.",1.6.0.test1,Closed,Low,Minor,Text,Always,archana,"Rahul Asati","when user shares or likes 1 story count is showing 1 like(s) and 1 share(s).
","Text should be viisble as 1 Like , 1 share

Refer design
https://app.sympli.io/app#!/designs/57970c9b4b9a4a6c5c5643e0","1. Open story listing page.","Android Phone Samsung Galaxy J7 Android 5.1 Chrome Latest",,1,"04/08/2016 06:49:06 ","23/09/2016 12:05:08 "
24,"Create story icon should be larger",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,"Rahul Asati","Refer design
https://app.sympli.io/app#!/designs/57970c9b4b9a4a6c5c5643e0","Create story icon should be larger. It should be more in height compare to other icons like browse, shop, book , profile","1. Open app; 2. Observe create story icon","Android Phone Samsung Galaxy J7 Android 5.0",,1,"04/08/2016 07:00:25 ","10/08/2016 07:40:37 "
