ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
1,"'data added successfully' msg is coming even though the upload is failed",Prod,Closed,High,Major,Functional,Always,"Nirali Thakkar",pareshmedia,"data added successfully is coming even though the upload is failed","'data added successfully' msg should not come if the upload is failed",,"Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,2,"08/09/2016 10:28:45 ","17/10/2016 14:35:09 "
92,"Scheduled Date & time is getting same for all",Prod,"Not a Bug",High,Major,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. when we schedule for email notification, scheduled Date and time is getting same for all campaigns which are showing in table at bottom of the panel.","1. Scheduled Date & time should show as per scheduled time, shouldn't show same for all.","1. Open http://manage.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign, segment list and schedule as per requirement; 3. Repeat the step2 two or more times for different segments with different Date & time; 4. Now see the scheduled Date & time in ""Scheduled date"" column at bottom table of the panel",,,0,"01/09/2017 12:29:20 ","04/09/2017 15:21:29 "
94,"passed out dates and time shouldn't get select while scheduling",Prod,Closed,High,Major,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. When we are doing scheduling part for Notifications testing, passed out dates and time is getting select and schedule.","1. passed out dates and time shouldn't be select. It should disable..","1. Open http://manage.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign name, segment list and try to schedule for passed out dates and time",,,0,"04/09/2017 06:35:10 ","04/09/2017 15:22:53 "
98,"Home page is opening instead of stories page",Prod,Closed,High,Major,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. Home page is opening instead of stories page, when click on deep link push.","1. Should open stories page","1. Open  http://managesandbox.purplle.com/digitalmarketing/emailsubscriber; 2. Select campaign name, type: Push notification; 3. Insert this https://www.purplle.com/stories into Deeplink field; 4. Hit on test push; 5. Now check on mobile device",,,1,"16/09/2017 05:05:45 ","18/09/2017 06:28:46 "
2,"if user keeps the view as 12 and only 12 users has viewed the product and runs the cron the new price is not getting updated",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"if user keeps the view as 12 and only 12 users has viewed the product and runs the cron the new price is not getting updated.

Note: It only gets updated when the view is > 12
",,"1. open managesandbox.purplle.com; 2. go to product -> price exp; 3. enter view 12 and set the new price; 4. if the actual view is 12 and we run the cron the new price is not getting updated","Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 10:10:11 ","19/10/2016 10:10:11 "
3,"while scheduling the price exp, instead of registered name , normal name is coming in the listing",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"while scheduling the price exp, instead of registered name , normal name is coming in the listing","Registered name should come in the listing",,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 11:33:40 ","19/10/2016 11:33:40 "
4,"our price is not getting update in product_price_experiment when views are > than the view is set",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"our price is not getting update in product_price_experiment when views are > than the view is set",,,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:21:26 ","19/10/2016 13:21:26 "
5,"new value is not getting inserted in product_update_index after running the cron",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"new value is not getting inserted in product_update_index after running the cron",,,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:23:11 ","19/10/2016 13:23:11 "
6,"when clicked on duplicate, percentage is coming as selected by default even though the type is amount",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"when clicked on duplicate, percentage is coming as selected by default even though the type is amount",,,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:25:06 ","19/10/2016 13:25:06 "
7,"it is accepting % > 100 in the values",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"it is accepting % > 100 in the values","% range should always in between 1-100",,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:26:16 ","19/10/2016 13:26:16 "
